timestamp,hora,dow,demanda_mwh,precio_spot_usd_mwh
2024-01-01 00:00:00,0,0,2275.52,145.98
2024-01-01 01:00:00,1,0,2038.07,143.34
2024-01-01 02:00:00,2,0,2030.57,115.83
2024-01-01 03:00:00,3,0,1973.26,133.14
2024-01-01 04:00:00,4,0,1843.49,120.88
2024-01-01 05:00:00,5,0,2083.78,143.52
2024-01-01 06:00:00,6,0,2467.18,201.11
2024-01-01 07:00:00,7,0,2698.9,220.66
2024-01-01 08:00:00,8,0,3000.25,240.68
2024-01-01 09:00:00,9,0,3044.77,184.83
2024-01-01 10:00:00,10,0,3375.72,264.62
2024-01-01 11:00:00,11,0,3364.08,181.56
2024-01-01 12:00:00,12,0,3282.49,230.81
2024-01-01 13:00:00,13,0,3333.21,219.41
2024-01-01 14:00:00,14,0,3259.17,209.03
2024-01-01 15:00:00,15,0,3176.43,183.1
2024-01-01 16:00:00,16,0,3455.41,219.92
2024-01-01 17:00:00,17,0,3428.77,232.67
2024-01-01 18:00:00,18,0,3867.89,291.53
2024-01-01 19:00:00,19,0,3677.85,306.44
2024-01-01 20:00:00,20,0,3389.31,255.33
2024-01-01 21:00:00,21,0,2930.47,320.07
2024-01-01 22:00:00,22,0,2845.88,232.44
2024-01-01 23:00:00,23,0,2442.91,176.52
2024-01-02 00:00:00,0,1,2217.8,147.48
2024-01-02 01:00:00,1,1,2089.03,147.85
2024-01-02 02:00:00,2,1,2015.5,123.82
2024-01-02 03:00:00,3,1,1934.84,101.49
2024-01-02 04:00:00,4,1,2007.22,141.37
2024-01-02 05:00:00,5,1,2216.25,160.31
2024-01-02 06:00:00,6,1,2640.35,181.78
2024-01-02 07:00:00,7,1,2690.33,186.36
2024-01-02 08:00:00,8,1,2948.25,228.55
2024-01-02 09:00:00,9,1,3049.14,191.8
2024-01-02 10:00:00,10,1,3345.59,200.0
2024-01-02 11:00:00,11,1,3404.39,191.4
2024-01-02 12:00:00,12,1,3261.93,216.66
2024-01-02 13:00:00,13,1,3112.46,187.68
2024-01-02 14:00:00,14,1,3114.22,186.06
2024-01-02 15:00:00,15,1,3349.56,243.5
2024-01-02 16:00:00,16,1,3500.19,225.25
2024-01-02 17:00:00,17,1,3615.35,257.04
2024-01-02 18:00:00,18,1,3665.18,274.63
2024-01-02 19:00:00,19,1,3714.3,296.57
2024-01-02 20:00:00,20,1,3425.38,251.48
2024-01-02 21:00:00,21,1,3025.05,318.73
2024-01-02 22:00:00,22,1,2812.39,244.0
2024-01-02 23:00:00,23,1,2475.46,182.83
2024-01-03 00:00:00,0,2,2305.13,155.58
2024-01-03 01:00:00,1,2,2120.16,153.78
2024-01-03 02:00:00,2,2,1998.72,114.61
2024-01-03 03:00:00,3,2,1952.68,123.56
2024-01-03 04:00:00,4,2,1877.78,118.64
2024-01-03 05:00:00,5,2,2158.96,178.25
2024-01-03 06:00:00,6,2,2415.88,196.93
2024-01-03 07:00:00,7,2,2668.21,163.77
2024-01-03 08:00:00,8,2,2973.25,192.73
2024-01-03 09:00:00,9,2,3302.85,227.44
2024-01-03 10:00:00,10,2,3175.84,208.81
2024-01-03 11:00:00,11,2,3386.08,179.21
2024-01-03 12:00:00,12,2,3082.18,234.4
2024-01-03 13:00:00,13,2,3169.27,201.98
2024-01-03 14:00:00,14,2,3225.12,206.31
2024-01-03 15:00:00,15,2,3342.29,189.45
2024-01-03 16:00:00,16,2,3496.47,233.21
2024-01-03 17:00:00,17,2,3646.53,239.87
2024-01-03 18:00:00,18,2,3706.9,278.2
2024-01-03 19:00:00,19,2,3624.85,331.81
2024-01-03 20:00:00,20,2,3514.0,271.75
2024-01-03 21:00:00,21,2,2982.06,335.52
2024-01-03 22:00:00,22,2,2607.38,232.73
2024-01-03 23:00:00,23,2,2358.89,207.38
